run,mu,alpha_scale,description,total_tasks,assigned_tasks,completed_tasks,tar,throughput,expired_tasks,jfi,gini,utility_diff,fairness_loss,ewma_cv,mean_wait_min,std_wait_min,p95_wait_min,max_wait_min,worker_util,workers_zero_tasks_pct,tasks_per_worker_mean,tasks_per_worker_std,tasks_per_worker_cv,total_travel_km,empty_km,passenger_km,empty_km_pct,backlog_peak
1,0.01,0.5,"Slow decay, less distance emphasis",20000,18924,12696,0.9462,0.6348,6228,0.6860716426041951,0.3834553008821675,10,0.5144927536231884,0.3262291247503396,6.052874644219992,5.232941708986978,14.361722458333332,14.99873605,0.545221725654776,0.146,3.174,2.1470267813886252,0.6764419601098378,160215.2996452455,35304.28595241996,124911.0136928263,22.035527212814245,6151
2,0.01,1.0,"Slow decay, default distance emphasis",20000,18924,12696,0.9462,0.6348,6228,0.686843429350605,0.38288008034026455,10,0.5132325141776938,0.32622912654150854,6.052874644219992,5.232941708986978,14.361722458333332,14.99873605,0.5451132265692606,0.146,3.174,2.1431808136505888,0.6752302500474445,160215.2996452455,35304.28595241996,124911.0136928263,22.035527212814245,6151
3,0.01,2.0,"Slow decay, moderate distance emphasis",20000,18924,12696,0.9462,0.6348,6228,0.6866093712727892,0.383250354442344,10,0.5155954631379962,0.32622912654155534,6.052874644219992,5.232941708986978,14.361722458333332,14.99873605,0.5451382679956548,0.146,3.174,2.1443469868470446,0.6755976644130576,160215.2996452455,35304.28595241996,124911.0136928263,22.035527212814245,6151
4,0.01,5.0,"Slow decay, high distance emphasis",20000,18924,12696,0.9462,0.6348,6228,0.6866795719446527,0.3834187539382481,10,0.5152804032766226,0.3262291247836014,6.052874644219992,5.232941708986978,14.361722458333332,14.99873605,0.5453102667360437,0.146,3.174,2.143997201490711,0.6754874610871805,160215.2996452455,35304.28595241996,124911.0136928263,22.035527212814245,6151
5,0.1,0.5,"Paper's mu, less distance emphasis",20000,18924,12733,0.9462,0.63665,6191,0.6881431936639446,0.38207136966936295,11,0.5112699285321606,0.3234072853252119,5.979161302267087,5.177403143607325,14.316787293333332,14.999209416666668,0.5441913667384006,0.14675,3.18325,2.1429347721057677,0.673190849636619,160131.1725236178,35070.92214251769,125060.25038110005,21.901370975938534,6093
6,0.1,1.0,"Paper's mu, default alpha_scale",20000,18924,12733,0.9462,0.63665,6191,0.686557959415282,0.3835065773973141,11,0.5144113720254457,0.3234072853251953,5.979161302267087,5.177403143607325,14.316787293333332,14.999209416666668,0.5442277266813031,0.14675,3.18325,2.15085318827204,0.675678375330885,160131.1725236178,35070.92214251769,125060.25038110005,21.901370975938534,6093
7,0.1,2.0,"Paper's mu, moderate distance emphasis",20000,18924,12733,0.9462,0.63665,6191,0.6869070152693748,0.38328962145605905,11,0.5133118668027958,0.3234072853147918,5.979161302267087,5.177403143607325,14.316787293333332,14.999209416666668,0.544330845323201,0.14675,3.18325,2.149108986882703,0.675130444320334,160131.1725236178,35070.92214251769,125060.25038110005,21.901370975938534,6093
8,0.1,5.0,"Paper's mu, high distance emphasis",20000,18924,12733,0.9462,0.63665,6191,0.6867440783788821,0.38353685305898044,11,0.5147255163747743,0.3234072163101122,5.979177151972579,5.177385158827068,14.316787293333332,14.999209416666668,0.5441572096301937,0.14675,3.18325,2.1499231236255865,0.6753862007776915,160131.2734307659,35071.02304966578,125060.25038110005,21.90142018999745,6093
9,0.5,0.5,"Faster decay, less distance emphasis",20000,18924,12842,0.9462,0.6421,6082,0.6811823183425305,0.3883505295125369,11,0.5173648964335773,0.3257573784453351,5.493723471813851,5.005645262308893,14.164035391666665,14.99873605,0.5407741040562063,0.1545,3.2105,2.1964038221602147,0.6841313883071841,158333.6077445136,32691.380017388652,125642.22772712531,20.64715159534501,5947
10,0.5,1.0,"Faster decay, default distance emphasis",20000,18924,12842,0.9462,0.6421,6082,0.6793863658833998,0.3896661734932252,11,0.516430462544775,0.32575739503741097,5.493723471813851,5.005645262308893,14.164035391666665,14.99873605,0.540346692923086,0.1545,3.2105,2.2054908183894124,0.6869617873818447,158333.6077445136,32691.380017388652,125642.22772712531,20.64715159534501,5947
11,0.5,2.0,"Faster decay, moderate distance emphasis",20000,18924,12842,0.9462,0.6421,6082,0.6795879376277445,0.38954130976483414,11,0.5179878523594456,0.3257600921048693,5.4934651081451555,5.005881400388179,14.164035391666665,14.99873605,0.5404095131436416,0.1545,3.2105,2.2044704012528724,0.6866439499308121,158331.94879138548,32689.721064260535,125642.22772712531,20.64632016077296,5947
12,0.5,5.0,"Faster decay, high distance emphasis",20000,18924,12842,0.9462,0.6421,6082,0.6808898302285639,0.3886286403986916,11,0.5168976794891761,0.3257573771704025,5.493723471813851,5.005645262308893,14.164035391666665,14.99873605,0.5404899226672443,0.1545,3.2105,2.197883015540181,0.6845921244479617,158333.6077445136,32691.380017388652,125642.22772712531,20.64715159534501,5947
