_dataset,_label,TAR,Rev. (k$),JFI (tasks),Gini (tasks),JFI (earnings),Gini (earn),JFI rate,P10 tasks,P25 tasks,CV (idle),CV (earn),Wait (m),P95 Wait (m),Avg Pickup (km),Util (%),Backlog,elapsed_s
Gowalla,Greedy,0.9984927377363662,297.6052352283028,0.5806457076811561,0.4307833527991565,0.616519125707162,0.4132062473673819,0.9832153459693994,1.0,2.0,0.8324629885311693,0.8060392850434427,2.8718480923044827,6.909687822858489,1.358777158219128,-31.58312235803575,35,97.67020177841187
Gowalla,k-NLF (k=15),0.9980816662099206,297.497573440585,0.6763261774493967,0.35701299869574543,0.6957826111697868,0.34658519623681583,0.9955469285224937,2.0,3.0,0.8106266371798841,0.6660774969294999,5.230466010454109,22.21967566947142,2.5101232107612512,-35.78362402281805,50,5.125427007675171
Gowalla,k-NTF-EPH,0.998035991595871,297.4701574213838,0.64418145898117,0.38136586463351213,0.6693771553166364,0.36375144964415784,0.9957752911623658,1.0,2.0,0.8227763153426847,0.7072936272537516,5.144557300711046,21.66549180150028,2.4716111128855713,-33.24898004501422,53,5.16746187210083
Gowalla,k-NTF-IR,0.9979674796747967,297.4752124533086,0.6426521385849288,0.3808773690638079,0.6647602864340483,0.3677390258182749,0.9953185658826216,1.0,2.0,0.8251921771789087,0.7151063337613643,5.192242953489095,21.74790670990944,2.493493517392615,-32.14410686734863,55,4.8505940437316895
Gowalla,Composite†,0.9982872019731434,297.55301491918317,0.6082895206606629,0.4194021141878292,0.6500865849281183,0.4063277579009865,0.964717972139758,1.0,2.0,0.8371235018429439,0.7710475536770595,5.523813915703019,23.00584345897039,2.6155705627073607,-28.517180527380702,0,22.074477195739746
Didi,Greedy,0.8625495609203502,2765.5357578133667,0.5953165422140854,0.4438105584579266,0.612325425419999,0.5089011093907179,0.86371912280225,0.0,2.0,2.077366823102822,0.943821044851824,2.6235823513064163,10.146072949369737,1.2782560758729082,77.48030019522271,142,367.0855977535248
Didi,k-NLF (k=15),0.8626699789045531,2765.9258601559354,0.642893055437697,0.41707663046329496,0.6664863469398048,0.4623629471562887,0.8867360526101252,0.0,2.0,1.475910633278099,0.8318981992566815,3.4717449882522824,14.338553441762903,1.702586111813766,58.458469991297626,111,40.14849400520325
Didi,k-NTF-EPH,0.862643219352508,2765.8798533339764,0.6133519083091763,0.4340857581223029,0.6447930019325209,0.4753739370520229,0.8898339628794261,0.0,2.0,1.5851272471176796,0.8619123649769245,3.30592399191916,13.646013728777568,1.6202529274207933,64.50120571842182,116,43.95795297622681
Didi,k-NTF-IR,0.8626342995018264,2765.7558597072048,0.6204461492655906,0.4299685379711274,0.6495523843818412,0.47252086288005746,0.8888556754259627,0.0,2.0,1.5581624659591273,0.8555855570555309,3.3243602614093817,13.550435722668967,1.6277528646432589,62.77977992063413,118,45.6296010017395
Didi,Composite†,0.8627190380833025,2767.774495457309,0.5905945336559252,0.4536764009272275,0.6263054967058528,0.500130407866052,0.8698062447349113,0.0,2.0,1.6370857533689978,0.914142122029129,3.302385538418056,13.374025846918423,1.5889268484793835,66.9585280085891,0,104.71964764595032
